A-bike,
Sohrab,
Sole,
Solex,
Solifer,
SOMA,
Somec,
Spalding,
Sparta,
Specialized,
Speedwell bicycles,
Star Cycle,
Stearns,
Stelber Cycle Corp,
Stella,
Sterling,
Steyr,
Strida,
Sun Cycle,
Sunbeam,
Surly Bikes,
Suzuki,
Swift Folder,
Swing Bike,
Syracuse Cycle,
Tern,
TerraTrike,
Terrot,
Thomas,
Time,
Titus,
Tommaso bikes,
Torker,
Trek,
Trident Trikes,
Trinx,
Triumph Cycle,
Tube Investments,
Tunturi,
Turner,
Univega,
Urago,
Van Dessel Sports,
Velocite Bikes,
Velomotors,
VeloSoleX,
Velo Vie,
Victoria,
Villiger,
Villy Customs,
Vindec,
Vitus,
Volae,
Volagi,
Wanderer,
Waterford,
Whippet,
Wilderness Trail Bikes,
Wilier Triestina,
Witcomb Cycles,
Wittson Custom Ti Cycles,
Worksman Cycles,
Wright Cycle,
Whyte,
Xootr,
Yamaguchi Bicycles,
Yamaha,
Yeti Cycles,
Zigo,
Zundapp,
Test,
Another Test,
